Label,species,taskid,plate_num,object,background,compartment,ilastik_model,capture_datetime,OutFile,elapsed_hours,elapsed_days
At_20251103_060,At,20251103,60,73,11875388,Root,/mnt/ibioldata/LBMC_data/cmaslard/ilastik_model/At/At_root.ilp,2025-11-03T10:07:51Z,NA,0,0
At_20251103_054,At,20251103,54,160,11875301,Root,/mnt/ibioldata/LBMC_data/cmaslard/ilastik_model/At/At_root.ilp,2025-11-03T10:06:26Z,NA,0,0
At_20251103_056,At,20251103,56,86,11875375,Root,/mnt/ibioldata/LBMC_data/cmaslard/ilastik_model/At/At_root.ilp,2025-11-03T10:06:26Z,NA,0,0
At_20251103_016,At,20251103,16,1339,5064722,Seed,/mnt/ibioldata/LBMC_data/cmaslard/ilastik_model/At/At_seed.ilp,2025-11-03T09:28:24Z,NA,0,0
At_20251103_012,At,20251103,12,1317,5064744,Seed,/mnt/ibioldata/LBMC_data/cmaslard/ilastik_model/At/At_seed.ilp,2025-11-03T09:28:21Z,NA,0,0
At_20251103_006,At,20251103,6,1309,5064752,Seed,/mnt/ibioldata/LBMC_data/cmaslard/ilastik_model/At/At_seed.ilp,2025-11-03T09:26:54Z,NA,0,0
At_20251103_004,At,20251103,4,1132,5064929,Seed,/mnt/ibioldata/LBMC_data/cmaslard/ilastik_model/At/At_seed.ilp,2025-11-03T09:26:50Z,NA,0,0
At_20251103_009,At,20251103,9,1732,5064329,Seed,/mnt/ibioldata/LBMC_data/cmaslard/ilastik_model/At/At_seed.ilp,2025-11-03T09:28:23Z,NA,0,0
At_20251103_019,At,20251103,19,1331,5064730,Seed,/mnt/ibioldata/LBMC_data/cmaslard/ilastik_model/At/At_seed.ilp,2025-11-03T09:37:16Z,NA,0,0
At_20251103_022,At,20251103,22,1371,5064690,Seed,/mnt/ibioldata/LBMC_data/cmaslard/ilastik_model/At/At_seed.ilp,2025-11-03T09:37:18Z,NA,0,0
At_20251103_013,At,20251103,13,1398,5064663,Seed,/mnt/ibioldata/LBMC_data/cmaslard/ilastik_model/At/At_seed.ilp,2025-11-03T09:28:25Z,NA,0,0
At_20251103_021,At,20251103,21,1341,5064720,Seed,/mnt/ibioldata/LBMC_data/cmaslard/ilastik_model/At/At_seed.ilp,2025-11-03T09:37:18Z,NA,0,0
At_20251103_017,At,20251103,17,1173,5064888,Seed,/mnt/ibioldata/LBMC_data/cmaslard/ilastik_model/At/At_seed.ilp,2025-11-03T09:37:15Z,NA,0,0
At_20251103_014,At,20251103,14,1508,5064553,Seed,/mnt/ibioldata/LBMC_data/cmaslard/ilastik_model/At/At_seed.ilp,2025-11-03T09:28:23Z,NA,0,0
At_20251103_024,At,20251103,24,1456,5064605,Seed,/mnt/ibioldata/LBMC_data/cmaslard/ilastik_model/At/At_seed.ilp,2025-11-03T09:37:19Z,NA,0,0
At_20251103_023,At,20251103,23,1235,5064826,Seed,/mnt/ibioldata/LBMC_data/cmaslard/ilastik_model/At/At_seed.ilp,2025-11-03T09:37:18Z,NA,0,0
At_20251103_018,At,20251103,18,1223,5064838,Seed,/mnt/ibioldata/LBMC_data/cmaslard/ilastik_model/At/At_seed.ilp,2025-11-03T09:37:16Z,NA,0,0
At_20251103_032,At,20251103,32,1627,5064434,Seed,/mnt/ibioldata/LBMC_data/cmaslard/ilastik_model/At/At_seed.ilp,2025-11-03T09:38:48Z,NA,0,0
At_20251103_015,At,20251103,15,1399,5064662,Seed,/mnt/ibioldata/LBMC_data/cmaslard/ilastik_model/At/At_seed.ilp,2025-11-03T09:28:23Z,NA,0,0
At_20251103_029,At,20251103,29,1272,5064789,Seed,/mnt/ibioldata/LBMC_data/cmaslard/ilastik_model/At/At_seed.ilp,2025-11-03T09:38:45Z,NA,0,0
